segment length,Step Length,filters,kernel size,stacks,dropout,lr,dilation,Training Time,train loss,train acc,eval acc,Eval Acc
2400,100,32,6,2,0.175,0.0125,7,3725.81693625098,0.0012514368863776324,0.99962055683136,0.9176400303840636,0.998046875
2400,300,16,11,1,0.175,0.0125,7,421.80751410199446,0.022398006170988083,0.9929943680763244,0.9748489856719972,0.99755859375
2400,300,32,6,2,0.175,0.0125,7,1619.0936539150134,0.01344241015613079,0.9955248236656188,0.9809889793395996,0.99755859375
3600,100,64,8,1,0.175,0.0125,8,5047.120046695985,0.0009820690611377358,0.9996802806854248,0.8091553449630737,0.9970703125
2400,300,64,6,1,0.175,0.0125,8,1099.0845393690106,0.016896151006221768,0.9944939017295836,0.9734699130058287,0.99609375
3600,300,16,8,1,0.175,0.0125,8,642.300958006992,0.01249732170253992,0.996115505695343,0.9616689682006836,0.9931640625
2400,200,16,11,1,0.175,0.0125,7,334.8566610050038,0.03537959605455398,0.9890207052230836,0.8440023064613342,0.99267578125
3600,200,32,16,1,0.175,0.0125,7,919.9756134840137,0.004047136288136244,0.9987993240356444,0.8562179207801819,0.9912109375
3600,300,16,16,1,0.175,0.0125,7,312.0236540960032,0.030662748962640762,0.9907914996147156,0.9451523423194884,0.9912109375
2400,300,32,11,1,0.175,0.0125,7,562.3813455009948,0.011449272744357586,0.9962745904922484,0.9864066243171692,0.990234375
3600,400,16,16,1,0.175,0.0125,7,315.0269650350092,0.0224122516810894,0.9929869174957277,0.7793447971343994,0.98876953125
2400,200,32,6,2,0.175,0.0125,7,1431.2426524879993,0.007098889909684658,0.9979559183120728,0.8701756596565247,0.98876953125
3600,200,32,16,2,0.175,0.0125,6,2630.2621135250088,0.050155900418758385,0.9831597208976746,0.8581156730651855,0.98681640625
2400,300,64,11,1,0.175,0.0125,7,1392.87052845399,0.07670027017593384,0.9710871577262878,0.9442474246025084,0.98681640625
2400,400,32,6,2,0.175,0.0125,7,1399.559255266999,0.019890716299414638,0.9934375286102296,0.8703498244285583,0.98193359375
2400,100,64,6,1,0.175,0.0125,8,3344.2170255969977,0.002512142993509769,0.9991558790206908,0.7735627293586731,0.9814453125
