segment length,filters,kernel size,stacks,dropout,lr,dilation,Training Time,train loss,train acc,eval acc,Eval Acc,C1 correct,C1 as C2,C1 as C3,C1 as C4,C2 as C1,C2 correct,C2 as C3,C2 as C4,C3 as C1,C3 as C2,C3 correct,C3 as C4,C4 as C1,C4 as C2,C4 as C3,C4 correct
2400,32,6,2,0.175,0.0125,7,1399.5592552669987,0.019890716299414635,0.9934375286102295,0.8703498244285583,0.98193359375,403,0,0,0,2,592,10,0,0,0,200,0,0,0,15,284
2400,64,6,2,0.175,0.0125,7,1553.521638767008,0.04025906324386597,0.98591548204422,0.8055691123008728,0.93310546875,403,0,0,0,4,539,34,27,0,0,198,2,0,0,34,265
2400,16,6,1,0.175,0.0125,8,272.2767665249994,0.11168523877859116,0.9592013359069824,0.8224626183509827,0.84716796875,403,0,0,0,72,520,9,3,0,0,196,4,0,115,27,157
2400,32,6,1,0.175,0.0125,8,768.8933777470083,0.011282142251729965,0.9961615800857544,0.8849377036094666,0.9609375,403,0,0,0,20,579,5,0,0,0,200,0,0,0,34,265
2400,64,6,1,0.175,0.0125,8,985.4843261659844,0.045188937336206436,0.9833771586418152,0.7678357362747192,0.95703125,403,0,0,0,2,578,24,0,0,0,200,0,0,3,36,260
2400,16,11,1,0.175,0.0125,7,219.16410283799632,0.06850472092628479,0.9767218828201294,0.8350108861923218,0.93212890625,403,0,0,0,0,521,0,83,0,0,200,0,0,19,0,280
2400,32,11,1,0.175,0.0125,7,560.0125432159984,0.019868100062012672,0.9934994578361511,0.8244135975837708,0.97021484375,403,0,0,0,2,597,5,0,0,0,200,0,0,9,29,261
2400,64,11,1,0.175,0.0125,7,1021.5793444080045,0.07157598435878754,0.9739359021186829,0.7896066904067993,0.9814453125,403,0,0,0,4,593,7,0,0,0,200,0,0,14,3,282
3600,16,8,1,0.175,0.0125,8,406.4274034239934,0.041441552340984344,0.9866284132003784,0.7130679488182068,0.912109375,268,0,0,0,3,379,19,0,0,0,132,0,0,29,37,133
3600,32,8,1,0.175,0.0125,8,669.669270562008,0.011779585853219032,0.9960727095603943,0.8972596526145935,0.97314453125,268,0,0,0,5,390,6,0,0,0,132,0,0,4,12,183
3600,64,8,1,0.175,0.0125,8,951.8410537000163,0.07059139758348465,0.9728516936302185,0.7891635894775391,0.876953125,265,3,0,0,44,318,24,15,0,0,132,0,0,11,26,162
3600,16,16,2,0.175,0.0125,6,508.6387199779856,0.02779354900121689,0.9909297823905945,0.8068820834159851,0.87109375,151,117,0,0,0,400,1,0,0,0,132,0,0,8,3,188
3600,32,16,2,0.175,0.0125,6,1765.4792478050222,0.09119461476802826,0.9658074378967285,0.8678479194641113,0.966796875,268,0,0,0,10,370,3,18,0,0,132,0,0,2,0,197
3600,64,16,2,0.175,0.0125,6,3149.9599333439837,0.9620009064674377,0.6916123628616333,0.52579665184021,0.64306640625,84,179,0,5,28,349,14,10,0,5,127,0,19,87,10,83
3600,16,16,1,0.175,0.0125,7,274.98071150301257,0.04947304725646973,0.9834491610527039,0.780415952205658,0.89111328125,268,0,0,0,0,401,0,0,0,0,132,0,0,107,2,90
3600,16,16,1,0.175,0.0125,7,315.0269650350092,0.0224122516810894,0.9929869174957275,0.7793447971343994,0.98876953125,268,0,0,0,5,393,3,0,0,0,132,0,0,1,2,196
3600,32,16,1,0.175,0.0125,7,455.8124024809804,0.03245796635746956,0.9899011850357056,0.8201374411582947,0.86083984375,253,15,0,0,11,378,11,1,0,0,132,0,0,66,35,98
3600,64,16,1,0.175,0.0125,7,1652.060122640978,0.5817007422447205,0.7563818693161011,0.5390520691871643,0.68603515625,112,156,0,0,16,374,10,1,0,0,130,2,3,99,27,70
